POI_ID,POI_Type,Name,Latitude,Longitude
682080543,School,Anuruddha Balika Vidyalaya,6.9295763,79.8784098
682601036,School,Hameed Al Hussaini College,6.9408877,79.8598042
682652547,School,Vivekananda College,6.9431455,79.8594823
682652552,School,Wolfendhal Girls School,6.9419846,79.8597076
682652558,School,Kotahena Central College,6.9414628,79.8623362
682652654,School,St. Anne's Convent,6.9442744,79.8580769
682652657,School,St.Marry's College,6.9437845,79.8583558
683783950,School,Holy Family Convent Rajagiriya,6.9112867,79.8948303
683786322,School,Vidyakeerthi Vidyalaya,6.91625,79.8921374
683787576,School,Sri Parakumbha Vidyalaya,6.9143967,79.8903242
683789963,School,ColHenry Olcat Vidyalaya,6.9258036,79.895989
694999104,School,Prince of Wales' College,6.7852223,79.8839469
695007928,School,Unknown,6.7896157,79.8969782
696486176,School,Gamini Vidyalaya,6.9534804,79.8905296
696497073,School,Waragoda Junior school,6.9485708,79.8853368
766428147,School,Sri Lanka Institute of Chartered Accountants,6.901712,79.8711525
843529928,School,Sri Sunandarama Pirivena,7.0908254,79.9931216
847483318,School,J/Ketpely GTMS,9.6486417,80.22601
847630668,School,Sathara Institute,6.8448237,79.9302225
864953531,School,Mahamathya Vidyalaya,6.874376,79.9933818
938711212,School,Carmel Convent,6.9748682,79.8778552
973582530,School,Thalangama Maha Vidyalaya,6.9136763,79.9467156
1137448354,School,Thummodara School,7.3913915,79.8586219
1137449103,School,"Dharmaraja College, Marawila",7.4353939,79.8574683
1148495198,School,J/Chavakachcheri Hindu College,9.6647245,80.1727685
1166136175,School,St. Aloysius College,6.0354036,80.2120989
1237359034,School,D.S. Senanayake Maha Vidyalaya,8.313002,80.401265
1241541909,School,Royal Central College Polonnaruwa,7.9161361,81.0024753
1242795074,School,Orr's Hill Vivekananda School,8.5785122,81.2238599
1242796307,School,T/Sri Sinhala Maha Vidyalaya,8.5755737,81.2258983
1243355209,School,Hindu Primary School,8.5723859,81.233693
1243367611,School,T/Methodist Girl's College,8.5662416,81.2373492
1243371978,School,T/St Mary's College,8.5710277,81.2359032
1243397240,School,Tissa Vidyalaya,8.5582606,81.2370821
1252418793,School,Kothalawalapura Vidyalaya,6.8143086,79.8738873
1252439008,School,Lalith Athulathmudali Vocational Training Centre,6.8143601,79.8774709
1268340433,School,Croos Convent,7.2113057,79.8437409
1268340441,School,Maris Stella College,7.2132854,79.8478501
1268340449,School,Harischandra College,7.2098261,79.8532359
1268347716,School,Wijaratnam Maha Vidyalaya,7.2145497,79.8388343
1268347730,School,St. Sebastian College,7.2178705,79.8402398
1268352837,School,Loyola College,7.2538969,79.8532013
1269983089,School,Kapungoda Secondary School,7.1177283,79.8408707
1269985601,School,Gonzalves College Pamunugama,7.089941,79.8507037
1269994556,School,St. Jude's College Kurana,7.195098,79.8534627
1270003616,School,St. Annes College,7.18679,79.8623391
1270008382,School,Bandaranayake Vidyalaya,7.1368005,79.8751278
1270008385,School,Seeduwa Davi Samara Maha Vidyalaya,7.1315468,79.8779066
1272975443,School,Neelammahara school,6.8286454,79.9201573
1272998531,School,Ananda Samarakoon Vidyalaya,6.8069133,79.908994
1275847253,School,Vidyaraja Vidyalaya,6.7921714,79.894563
1278007306,School,Unknown,6.7821556,79.8809938
1278877445,School,Don Bosco Technical Centre,7.2307001,79.8455604
1278880064,School,St. Franciscan Convent,7.2255007,79.8460378
1278886869,School,St. Fransiscan Convent,7.2060809,79.846306
1285552379,School,Niwandama Jinaraja Vidyalaya,7.0854319,79.9293211
1292891941,School,Batuwatta Maha Vidyalaya,7.0579226,79.9298682
1292892199,School,Ganemulla Central College,7.0695924,79.9533024
1369195823,School,Amal International School,6.8842085,79.8693635
1369195834,School,Ilma International Girls School,6.8864053,79.8735164
1370719535,School,St. Joseph's Deaf School,7.0297387,79.9185234
1370719548,School,Peralanda Junior School,7.0404347,79.9086583
